room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
16884631,73440443,Shared room,Inner Sydney,8,4,2,1,18,-33.85465,151.193437,Balmain East
18978531,90222595,Shared room,Eastern Suburbs,0,0,1,1,15,-33.948169,151.246558,Maroubra
17079775,107411366,Shared room,Eastern Suburbs,6,4.5,1,1,31,-33.895106,151.250644,Bondi Junction
17001034,96926999,Shared room,Inner Sydney,2,0,2,1,30,-33.899411,151.212117,Waterloo
11366444,47316694,Shared room,Inner Western Sydney,0,0,1,1,39,-33.868963,151.102374,Burwood
19275637,134991060,Shared room,Inner Sydney,0,0,1,1,35,-33.914809,151.209677,Rosebery
16847190,107411366,Shared room,Eastern Suburbs,3,5,1,1,31,-33.89304,151.250653,Bondi Junction
19558158,112807518,Shared room,Eastern Suburbs,0,0,1,1,27,-33.922751,151.231481,Kingsford
19321995,35906633,Shared room,St George-Sutherland,0,0,6,1,23,-33.970703,151.121814,Carlton
6626928,5621878,Shared room,Eastern Suburbs,13,4.5,1,1,18,-33.913029,151.238691,Randwick
17079114,107411366,Shared room,Eastern Suburbs,1,0,1,1,31,-33.894813,151.249917,Bondi Junction
13534647,77837534,Shared room,Inner Sydney,0,0,1,1,18,-33.881783,151.198719,Ultimo
19333832,134000521,Shared room,Eastern Suburbs,0,0,1,1,21,-33.951076,151.251532,Maroubra
16469143,89922092,Shared room,Inner Western Sydney,0,0,3,1,20,-33.891384,151.113334,Croydon Park
16396090,107411366,Shared room,Eastern Suburbs,3,5,1,1,31,-33.89295,151.249265,Bondi Junction
19475745,72949383,Shared room,Eastern Suburbs,0,0,1,1,20,-33.890272,151.273153,Bondi Beach
10952384,56802408,Shared room,Inner Sydney,0,0,2,1,24,-33.877498,151.19845,Ultimo
14381658,88294345,Shared room,Inner Sydney,0,0,3,1,15,-33.879343,151.200543,Ultimo
18793683,15173715,Shared room,Eastern Suburbs,0,0,2,1,25,-33.895538,151.27129,Bondi
13366656,69718422,Shared room,Lower Northern Sydney,20,4.5,1,1,25,-33.846827,151.212763,Kirribilli
11514783,60689118,Shared room,Lower Northern Sydney,1,0,1,1,21,-33.799399,151.176687,Chatswood
15606454,44797211,Shared room,Central Western Sydney,2,0,4,1,24,-33.823633,151.077221,Sydney Olympic Park
14082164,84655480,Shared room,Lower Northern Sydney,0,0,1,1,31,-33.787882,151.128637,Macquarie Park
17646409,31147437,Shared room,Inner Western Sydney,1,0,3,1,21,-33.879029,151.104018,Burwood
18352438,104297461,Shared room,Inner Western Sydney,3,4.5,1,1,21,-33.891207,151.128659,Ashfield
17613879,31147437,Shared room,Inner Western Sydney,3,4.5,3,1,21,-33.875778,151.11068,Burwood
18661339,49906596,Shared room,Eastern Suburbs,8,4.5,6,1,21,-33.880179,151.249284,Bellevue Hill
16323321,7969064,Shared room,Blacktown,4,5,2,1,24,-33.77316,150.888577,Blacktown
18292055,37312195,Shared room,Eastern Suburbs,0,0,1,1,24,-33.889061,151.274699,Bondi Beach
